ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,Estonia,4551,2863,7414,159%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Denmark,29453,18539,47992,159%
,,,,,,,,,,,,,,,Uruguay,479,593,1072,,,,,,,Nepal,4971,3129,8100,159%
,,,,,,,,,,,,,,,Venezuela,57,84,141,,,,,,,Liechtenstein,162,102,264,159%
,,,,,,,,,,,,,,,Asia and the Pacific,2559547,1506054,4065601,,,,,,,Montenegro,95,60,155,158%
,,,,,,,,,,,,,,,Afganistan,,38,38,,,,,,,San Marino,19,12,31,158%
,,,,,,,,,,,,,,,Afghanistan,299,,299,,,,,,,Finland,2840,1795,4635,158%
,,,,,,,,,,,,,,,American Samoa,0,1,1,,,,,,,Africa,16269,10295,26564,158%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,South  Africa,16896,10694,27590,158%
,,,,,,,,,,,,,,,Australia,57668,51746,109414,,,,,,,Tanzania,183,116,299,158%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,ANDORRA,41,26,67,158%
,,,,,,,,,,,,,,,Bangladesh,13228,10843,24071,,,,,,,Armenia,134,85,219,158%
,,,,,,,,,,,,,,,Bhutan,1857,1474,3331,,,,,,,Finland,3322,2108,5430,158%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Argentina,2383,1513,3896,158%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Finland,5809,3689,9498,157%
,,,,,,,,,,,,,,,British Indian Ocean Territory,1,0,1,,,,,,,India,162537,103316,265853,157%
,,,,,,,,,,,,,,,Brunei,2359,754,3113,,,,,,,Tanzania,162,103,265,157%
,,,,,,,,,,,,,,,Cambodia,72123,45202,117325,,,,,,,Costa rica,162,103,265,157%
,,,,,,,,,,,,,,,Caroline Islands,0,0,0,,,,,,,Trinidad and Tobago,44,28,72,157%
,,,,,,,,,,,,,,,China,993627,269773,1263400,,,,,,,Benin,11,7,18,157%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,Senegal,77,49,126,157%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Sri Lanka,4916,3134,8050,157%
,,,,,,,,,,,,,,,Cook  Islands,8,0,8,,,,,,,Ethiopia,1878,1198,3076,157%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Cambodia,75732,48352,124084,157%
,,,,,,,,,,,,,,,Fiji,203,101,304,,,,,,,Belgium,10259,6569,16828,156%
,,,,,,,,,,,,,,,French  Polynesia,66,0,66,,,,,,,Africa,15814,10149,25963,156%
,,,,,,,,,,,,,,,Guam,38,0,38,,,,,,,Denmark,12884,8278,21162,156%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,Montenegro,98,63,161,156%
,,,,,,,,,,,,,,,Hong Kong (China),76836,55432,132268,,,,,,,Asia and the Pacific,2512114,1615515,4127629,155%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Ecuador,143,92,235,155%
,,,,,,,,,,,,,,,India,159576,119474,279050,,,,,,,Egypt,1768,1138,2906,155%
,,,,,,,,,,,,,,,Indonesia,60482,53067,113549,,,,,,,Kenya,441,284,725,155%
,,,,,,,,,,,,,,,Iran,10636,7698,18334,,,,,,,Ukraine,3153,2031,5184,155%
,,,,,,,,,,,,,,,Japan,157029,60489,217518,,,,,,,France,77596,50019,127615,155%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,El Salvador,31,20,51,155%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,Argentina,3483,2248,5731,155%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Papua New Guinea,144,93,237,155%
,,,,,,,,,,,,,,,Kiribati,9,0,9,,,,,,,Africa,28934,18687,47621,155%
,,,,,,,,,,,,,,,Korea (Republic of),143654,115038,258692,,,,,,,Tanzania,164,106,270,155%
,,,,,,,,,,,,,,,Laos,135517,58222,193739,,,,,,,Spain,37923,24643,62566,154%
,,,,,,,,,,,,,,,Macao (China),5411,2194,7605,,,,,,,Malawi,20,13,33,154%
,,,,,,,,,,,,,,,Malaysia,327078,362070,689148,,,,,,,Chad,20,13,33,154%
,,,,,,,,,,,,,,,Maldives,2766,1665,4431,,,,,,,Norway,16972,11034,28006,154%
,,,,,,,,,,,,,,,Marshall Islands,3,2,5,,,,,,,Hungary,6310,4106,10416,154%
,,,,,,,,,,,,,,,Micronesia FSM,2,1,3,,,,,,,South  Africa,5358,3492,8850,153%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Cyprus,313,204,517,153%
,,,,,,,,,,,,,,,Mongolia,1553,1640,3193,,,,,,,Jordan,899,586,1485,153%
,,,,,,,,,,,,,,,Myanmar,34539,27478,62017,,,,,,,Argentina,1213,791,2004,153%
,,,,,,,,,,,,,,,N. Mariana Islands,0,0,0,,,,,,,Côte d'Ivoire,23,15,38,153%
,,,,,,,,,,,,,,,Nauru,11,3,14,,,,,,,Cuba,23,15,38,153%
,,,,,,,,,,,,,,,Nepal,4668,2241,6909,,,,,,,Mar,3478687,2269733,5748420,153%
,,,,,,,,,,,,,,,New Caledonia,183,0,183,,,,,,,Tajikistan,95,62,157,153%
,,,,,,,,,,,,,,,New Zealand,5521,5584,11105,,,,,,,South  Africa,5857,3832,9689,153%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,South  Africa,7421,4861,12282,153%
,,,,,,,,,,,,,,,Norfalk  Island,0,0,0,,,,,,,Latvia,1599,1048,2647,153%
,,,,,,,,,,,,,,,North Korea,0,1,1,,,,,,,Uruguay,238,156,394,153%
,,,,,,,,,,,,,,,Pakistan,7129,5104,12233,,,,,,,Bhutan,2421,1591,4012,152%
,,,,,,,,,,,,,,,Palau,4,1,5,,,,,,,Malta,143,94,237,152%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Iran,3764,2475,6239,152%
,,,,,,,,,,,,,,,Papua New Guinea,102,57,159,,,,,,,France,61924,40724,102648,152%
,,,,,,,,,,,,,,,Philippines,34894,33678,68572,,,,,,,Ghana,79,52,131,152%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Iraq,472,311,783,152%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Mali,50,33,83,152%
,,,,,,,,,,,,,,,Samoa,15,0,15,,,,,,,Sweden,10678,7065,17743,151%
,,,,,,,,,,,,,,,Singapore,94699,83250,177949,,,,,,,Cameroon,74,49,123,151%
,,,,,,,,,,,,,,,Solomon  Islands,14,1,15,,,,,,,Argentina,1146,759,1905,151%
,,,,,,,,,,,,,,,Sri Lanka,6660,2356,9016,,,,,,,France,113499,75188,188687,151%
,,,,,,,,,,,,,,,Taiwan,62738,46635,109373,,,,,,,Asia and the Pacific,2435655,1613854,4049509,151%
,,,,,,,,,,,,,,,Timor0Leste,89,20,109,,,,,,,Finland,3963,2632,6595,151%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,Norway,19859,13196,33055,150%
,,,,,,,,,,,,,,,Tonga,11,8,19,,,,,,,Burundi,3,2,5,150%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Eswatini,6,4,10,150%
,,,,,,,,,,,,,,,Tuvalu,6,0,6,,,,,,,Guyana,9,6,15,150%
,,,,,,,,,,,,,,,United States Minor Outlying Island,0,0,0,,,,,,,Marshall Islands,3,2,5,150%
,,,,,,,,,,,,,,,Vanautu,,137,137,,,,,,,Cape Verde Rep.,6,4,10,150%
,,,,,,,,,,,,,,,Vanuatu,53,,53,,,,,,,Niger,3,2,5,150%
,,,,,,,,,,,,,,,Vietnam,86182,82576,168758,,,,,,,Uganda,171,114,285,150%
,,,,,,,,,,,,,,,Wake  Island,0,0,0,,,,,,,Liechtenstein,42,28,70,150%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,0,0,0,,,,,,,Haiti,3,2,5,150%
,,,,,,,,,,,,,,,Europe,716534,614862,1331396,,,,,,,Central African Republic,3,2,5,150%
,,,,,,,,,,,,,,,ALBANIA,98,131,229,,,,,,,Gabon,3,2,5,150%
,,,,,,,,,,,,,,,ANDORRA,41,4,45,,,,,,,Algeria,274,183,457,150%
,,,,,,,,,,,,,,,Armenia,145,97,242,,,,,,,Asia and the Pacific,2871349,1918315,4789664,150%
,,,,,,,,,,,,,,,Austria,10596,8841,19437,,,,,,,Cyprus,573,383,956,150%
,,,,,,,,,,,,,,,Azerbaijan,432,173,605,,,,,,,Uganda,178,119,297,150%
,,,,,,,,,,,,,,,Belarus,1178,1063,2241,,,,,,,Italy,20065,13422,33487,149%
,,,,,,,,,,,,,,,Belgium,10259,6569,16828,,,,,,,Armenia,145,97,242,149%
,,,,,,,,,,,,,,,Bosnia0Herzegovina,107,137,244,,,,,,,Kuwait,4988,3341,8329,149%
,,,,,,,,,,,,,,,Bulgaria,1875,1302,3177,,,,,,,Zimbabwe,103,69,172,149%
,,,,,,,,,,,,,,,Channel Islands,10,,10,,,,,,,Bhutan,1825,1225,3050,149%
,,,,,,,,,,,,,,,Croatia,621,555,1176,,,,,,,Estonia,2444,1644,4088,149%
,,,,,,,,,,,,,,,Cyprus,313,204,517,,,,,,,Sri Lanka,5675,3822,9497,148%
,,,,,,,,,,,,,,,Czech Republic,6209,6180,12389,,,,,,,Switzerland,21789,14676,36465,148%
,,,,,,,,,,,,,,,Denmark,17137,13522,30659,,,,,,,U.A.E.,9963,6711,16674,148%
,,,,,,,,,,,,,,,Estonia,2444,1644,4088,,,,,,,Italy,26409,17808,44217,148%
,,,,,,,,,,,,,,,Faeroe Islands ,25,0,25,,,,,,,Poland,5328,3595,8923,148%
,,,,,,,,,,,,,,,Finland,15996,8968,24964,,,,,,,Sweden,12328,8321,20649,148%
,,,,,,,,,,,,,,,France,77596,50019,127615,,,,,,,Hong Kong (China),87691,59242,146933,148%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Argentina,2803,1894,4697,148%
,,,,,,,,,,,,,,,French Southern and Antarctic Territories,0,0,0,,,,,,,Switzerland,8918,6031,14949,148%
,,,,,,,,,,,,,,,Georgia,103,217,320,,,,,,,Norway,11550,7824,19374,148%
,,,,,,,,,,,,,,,Germany,102037,81511,183548,,,,,,,Tajikistan,62,42,104,148%
,,,,,,,,,,,,,,,Gibraltar,22,0,22,,,,,,,Apr,3216929,2182100,5399029,147%
,,,,,,,,,,,,,,,Greece,1199,1324,2523,,,,,,,Trinidad and Tobago,28,19,47,147%
,,,,,,,,,,,,,,,Guernsey,18,0,18,,,,,,,Latvia,2257,1532,3789,147%
,,,,,,,,,,,,,,,Hungary,4123,3129,7252,,,,,,,Malta,315,214,529,147%
,,,,,,,,,,,,,,,Iceland,494,361,855,,,,,,,Malta,128,87,215,147%
,,,,,,,,,,,,,,,Ireland,3930,5474,9404,,,,,,,Sweden,29223,19869,49092,147%
,,,,,,,,,,,,,,,Isle of Man,36,0,36,,,,,,,Austria,7965,5417,13382,147%
,,,,,,,,,,,,,,,Israel,13347,22697,36044,,,,,,,Costa rica,169,115,284,147%
,,,,,,,,,,,,,,,Italy,20065,13422,33487,,,,,,,Africa,12889,8778,21667,147%
,,,,,,,,,,,,,,,Jersey,96,0,96,,,,,,,Liechtenstein,113,77,190,147%
,,,,,,,,,,,,,,,Kazakhstan,9627,21328,30955,,,,,,,Italy,15152,10329,25481,147%
,,,,,,,,,,,,,,,Kosovo,0,124,124,,,,,,,South  Africa,7768,5296,13064,147%
,,,,,,,,,,,,,,,Kyrgyzstan,460,460,920,,,,,,,Cuba,22,15,37,147%
,,,,,,,,,,,,,,,Latvia,1599,1048,2647,,,,,,,Liberia,22,15,37,147%
,,,,,,,,,,,,,,,Liechtenstein,57,73,130,,,,,,,Nigeria,230,157,387,146%
,,,,,,,,,,,,,,,Lithuania,2397,2109,4506,,,,,,,Austria,4059,2774,6833,146%
,,,,,,,,,,,,,,,Luxembourg,736,414,1150,,,,,,,Africa,15073,10332,25405,146%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,Spain,11102,7620,18722,146%
,,,,,,,,,,,,,,,Malta,315,214,529,,,,,,,Jordan,967,665,1632,145%
,,,,,,,,,,,,,,,Moldova,90,67,157,,,,,,,Czech Republic,1875,1290,3165,145%
,,,,,,,,,,,,,,,Monaco,85,13,98,,,,,,,Asia and the Pacific,2318956,1595745,3914701,145%
,,,,,,,,,,,,,,,Montenegro,31,37,68,,,,,,,Algeria,170,117,287,145%
,,,,,,,,,,,,,,,Netherlands,16774,15776,32550,,,,,,,Morocco,1312,903,2215,145%
,,,,,,,,,,,,,,,North Macedonia,136,71,207,,,,,,,Hong Kong (China),83058,57192,140250,145%
,,,,,,,,,,,,,,,Norway,11195,8006,19201,,,,,,,Bahrain,6212,4278,10490,145%
,,,,,,,,,,,,,,,Poland,13946,12648,26594,,,,,,,Asia and the Pacific,2448582,1687354,4135936,145%
,,,,,,,,,,,,,,,Portugal,3725,3370,7095,,,,,,,Austria,16371,11285,27656,145%
,,,,,,,,,,,,,,,Romania,3650,3505,7155,,,,,,,Cameroon,71,49,120,145%
,,,,,,,,,,,,,,,Russian Federation,194550,177805,372355,,,,,,,Ecuador,110,76,186,145%
,,,,,,,,,,,,,,,San Marino,16,20,36,,,,,,,Switzerland,8375,5789,14164,145%
,,,,,,,,,,,,,,,Serbia,812,761,1573,,,,,,,Sudan,334,231,565,145%
,,,,,,,,,,,,,,,Slovakia,2638,2626,5264,,,,,,,Malta,371,257,628,144%
,,,,,,,,,,,,,,,Slovenia,747,792,1539,,,,,,,Bulgaria,1875,1302,3177,144%
,,,,,,,,,,,,,,,Spain,10466,8525,18991,,,,,,,Sweden,14375,10003,24378,144%
,,,,,,,,,,,,,,,Sweden,29223,19869,49092,,,,,,,Nigeria,250,174,424,144%
,,,,,,,,,,,,,,,Switzerland,18964,13660,32624,,,,,,,Brunei,1720,1198,2918,144%
,,,,,,,,,,,,,,,Tajikistan,64,79,143,,,,,,,Belgium,8423,5868,14291,144%
,,,,,,,,,,,,,,,Turkey,6016,5309,11325,,,,,,,Oman,10818,7539,18357,143%
,,,,,,,,,,,,,,,Turkmenistan,241,38,279,,,,,,,Brunei,1417,988,2405,143%
,,,,,,,,,,,,,,,Ukraine,8219,3505,11724,,,,,,,Estonia,3992,2784,6776,143%
,,,,,,,,,,,,,,,United Kingdom,87572,81751,169323,,,,,,,Nepal,4300,2999,7299,143%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,Maldives,2081,1452,3533,143%
,,,,,,,,,,,,,,,Uzbekistan,1631,3315,4946,,,,,,,France,85698,59925,145623,143%
,,,,,,,,,,,,,,,Vatican City State,0,0,0,,,,,,,Asia and the Pacific,2694705,1884948,4579653,143%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Comoros,50,35,85,143%
,,,,,,,,,,,,,,,Middle East,35286,19574,54860,,,,,,,Eswatini,10,7,17,143%
,,,,,,,,,,,,,,,Bahrain,1892,638,2530,,,,,,,Nicaragua,10,7,17,143%
,,,,,,,,,,,,,,,Egypt,1601,829,2430,,,,,,,Cuba,40,28,68,143%
,,,,,,,,,,,,,,,Iraq,495,287,782,,,,,,,Niger,10,7,17,143%
,,,,,,,,,,,,,,,Jordan,899,586,1485,,,,,,,Cambodia,80354,56265,136619,143%
,,,,,,,,,,,,,,,Kuwait,5030,2371,7401,,,,,,,Asia and the Pacific,2575339,1805515,4380854,143%
,,,,,,,,,,,,,,,Lebanon,709,256,965,,,,,,,Nepal,3427,2403,5830,143%
,,,,,,,,,,,,,,,Libia,,10,10,,,,,,,Iceland,262,184,446,142%
,,,,,,,,,,,,,,,Libya,43,,43,,,,,,,Hong Kong (China),101417,71281,172698,142%
,,,,,,,,,,,,,,,Oman,6404,2155,8559,,,,,,,Jordan,1087,764,1851,142%
,,,,,,,,,,,,,,,Palestine,115,109,224,,,,,,,Sweden,6350,4464,10814,142%
,,,,,,,,,,,,,,,Qatar,2952,2135,5087,,,,,,,Papua New Guinea,128,90,218,142%
,,,,,,,,,,,,,,,Saudi Arabia,2815,6555,9370,,,,,,,Cambodia,74092,52138,126230,142%
,,,,,,,,,,,,,,,Syria,155,157,312,,,,,,,Trinidad and Tobago,71,50,121,142%
,,,,,,,,,,,,,,,U.A.E.,11903,3195,15098,,,,,,,Switzerland,23899,16839,40738,142%
,,,,,,,,,,,,,,,Yemen,273,291,564,,,,,,,ผลรวมทั้งหมด,39916251,28150016,68066267,142%
,,,,,,,,,,,,,,,other,1487,,1487,,,,,,,Sweden,5750,4067,9817,141%
,,,,,,,,,,,,,,,stateless person,1487,,1487,,,,,,,Belgium,14953,10581,25534,141%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,Cambodia,66996,47414,114410,141%
,,,,,,,,,,,,,,,Apr,3216929,2182100,5399029,,,,,,,República Dominicana,48,34,82,141%
,,,,,,,,,,,,,,,Africa,15284,9441,24725,,,,,,,Malta,127,90,217,141%
,,,,,,,,,,,,,,,Algeria,170,117,287,,,,,,,New Zealand,7828,5558,13386,141%
,,,,,,,,,,,,,,,Angola,23,6,29,,,,,,,Aug,3472655,2468042,5940697,141%
,,,,,,,,,,,,,,,Benin,12,7,19,,,,,,,Chile,1384,984,2368,141%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Serbia,434,309,743,140%
,,,,,,,,,,,,,,,Botswana,82,14,96,,,,,,,Asia and the Pacific,2489444,1773401,4262845,140%
,,,,,,,,,,,,,,,Burkina  Faso,29,14,43,,,,,,,Hong Kong (China),106580,76006,182586,140%
,,,,,,,,,,,,,,,Burundi,8,4,12,,,,,,,Cyprus,265,189,454,140%
,,,,,,,,,,,,,,,Cameroon,55,44,99,,,,,,,Gambia,7,5,12,140%
,,,,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,San Marino,7,5,12,140%
,,,,,,,,,,,,,,,Cape Verde Rep.,4,1,5,,,,,,,Zambia,49,35,84,140%
,,,,,,,,,,,,,,,Central African Republic,0,1,1,,,,,,,Oct,3074099,2197017,5271116,140%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Qatar,3905,2792,6697,140%
,,,,,,,,,,,,,,,Chad,16,9,25,,,,,,,Norway,11195,8006,19201,140%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,Pakistan,7129,5104,12233,140%
,,,,,,,,,,,,,,,Comoros,50,35,85,,,,,,,Estonia,1025,734,1759,140%
,,,,,,,,,,,,,,,Côte d'Ivoire,36,12,48,,,,,,,Brunei,1402,1005,2407,140%
,,,,,,,,,,,,,,,Djibouti,40,7,47,,,,,,,Montenegro,46,33,79,139%
,,,,,,,,,,,,,,,Equatorial  Guinea,1,1,2,,,,,,,South  Africa,6068,4354,10422,139%
,,,,,,,,,,,,,,,Eritrea,25,19,44,,,,,,,Pakistan,7569,5441,13010,139%
,,,,,,,,,,,,,,,Eswatini,10,7,17,,,,,,,Montenegro,25,18,43,139%
,,,,,,,,,,,,,,,Ethiopia,2205,887,3092,,,,,,,Switzerland,18964,13660,32624,139%
,,,,,,,,,,,,,,,Gabon,7,1,8,,,,,,,Azerbaijan,279,201,480,139%
,,,,,,,,,,,,,,,Gambia,4,13,17,,,,,,,Hong Kong (China),76836,55432,132268,139%
,,,,,,,,,,,,,,,Ghana,88,27,115,,,,,,,Brazil,5048,3644,8692,139%
,,,,,,,,,,,,,,,Guinea,56,21,77,,,,,,,Moldova,54,39,93,138%
,,,,,,,,,,,,,,,Guinea0Bissau,0,2,2,,,,,,,Cuba,36,26,62,138%
,,,,,,,,,,,,,,,Kenya,755,408,1163,,,,,,,Costa rica,119,86,205,138%
,,,,,,,,,,,,,,,Lesotho,2,1,3,,,,,,,Qatar,2952,2135,5087,138%
,,,,,,,,,,,,,,,Liberia,21,17,38,,,,,,,Mexico,3804,2753,6557,138%
,,,,,,,,,,,,,,,Madagascar,115,16,131,,,,,,,Iran,10636,7698,18334,138%
,,,,,,,,,,,,,,,Malawi,23,4,27,,,,,,,America,164209,118891,283100,138%
,,,,,,,,,,,,,,,Mali,41,19,60,,,,,,,Iraq,312,226,538,138%
,,,,,,,,,,,,,,,Mauritania,1,5,6,,,,,,,Malta,160,116,276,138%
,,,,,,,,,,,,,,,Mauritius,797,1150,1947,,,,,,,Brunei,1965,1426,3391,138%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Belgium,10579,7678,18257,138%
,,,,,,,,,,,,,,,Mayotte,22,1,23,,,,,,,Switzerland,23232,16862,40094,138%
,,,,,,,,,,,,,,,Melilla,0,1,1,,,,,,,South  Africa,3978,2892,6870,138%
,,,,,,,,,,,,,,,Morocco,455,372,827,,,,,,,Gambia,11,8,19,138%
,,,,,,,,,,,,,,,Mozambique,95,31,126,,,,,,,Tonga,11,8,19,138%
,,,,,,,,,,,,,,,Namibia,140,33,173,,,,,,,Tunisia,209,152,361,138%
,,,,,,,,,,,,,,,Niger,4,3,7,,,,,,,San Marino,11,8,19,138%
,,,,,,,,,,,,,,,Nigeria,181,165,346,,,,,,,Paraguay,44,32,76,138%
,,,,,,,,,,,,,,,République Démocratique du Congo,2,13,15,,,,,,,Kenya,743,541,1284,137%
,,,,,,,,,,,,,,,République du Congo,51,2,53,,,,,,,Spain,11656,8488,20144,137%
,,,,,,,,,,,,,,,Reunion,842,0,842,,,,,,,South  Africa,7229,5265,12494,137%
,,,,,,,,,,,,,,,Rwanda,37,7,44,,,,,,,Cameroon,48,35,83,137%
,,,,,,,,,,,,,,,Saint  Helena,0,0,0,,,,,,,Mexico,3050,2224,5274,137%
,,,,,,,,,,,,,,,Sao Tome/Principe,0,1,1,,,,,,,Colombia,1566,1142,2708,137%
,,,,,,,,,,,,,,,Senegal,103,29,132,,,,,,,Serbia,1485,1083,2568,137%
,,,,,,,,,,,,,,,Seychelles,248,79,327,,,,,,,Finland,13356,9747,23103,137%
,,,,,,,,,,,,,,,Sierra Leone,5,3,8,,,,,,,Sri Lanka,5657,4131,9788,137%
,,,,,,,,,,,,,,,Somalia,15,21,36,,,,,,,Iceland,494,361,855,137%
,,,,,,,,,,,,,,,South  Africa,7229,5265,12494,,,,,,,Egypt,1835,1341,3176,137%
,,,,,,,,,,,,,,,South Sudan,0,0,0,,,,,,,The United States of America,112815,82470,195285,137%
,,,,,,,,,,,,,,,Sudan,245,125,370,,,,,,,Iraq,450,329,779,137%
,,,,,,,,,,,,,,,Tanzania,140,64,204,,,,,,,Hong Kong (China),79103,57917,137020,137%
,,,,,,,,,,,,,,,Togo,10,5,15,,,,,,,Iraq,303,222,525,136%
,,,,,,,,,,,,,,,Transkei,0,0,0,,,,,,,Jun,3056697,2241201,5297898,136%
,,,,,,,,,,,,,,,Tunisia,405,157,562,,,,,,,Ecuador,154,113,267,136%
,,,,,,,,,,,,,,,Uganda,202,111,313,,,,,,,Poland,21979,16129,38108,136%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Norway,9335,6853,16188,136%
,,,,,,,,,,,,,,,Zambia,74,15,89,,,,,,,Uruguay,241,177,418,136%
,,,,,,,,,,,,,,,Zimbabwe,103,69,172,,,,,,,Argentina,1299,955,2254,136%
,,,,,,,,,,,,,,,America,130818,100424,231242,,,,,,,Hong Kong (China),92343,67897,160240,136%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,Armenia,87,64,151,136%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,0,18,18,,,,,,,May,2736598,2013852,4750450,136%
,,,,,,,,,,,,,,,Argentina,2383,1513,3896,,,,,,,Nigeria,197,145,342,136%
,,,,,,,,,,,,,,,Aruba,0,0,0,,,,,,,Algeria,470,346,816,136%
,,,,,,,,,,,,,,,Bahamas,11,12,23,,,,,,,Sweden,6291,4632,10923,136%
,,,,,,,,,,,,,,,Barbados,2,5,7,,,,,,,Burkina  Faso,19,14,33,136%
,,,,,,,,,,,,,,,Belize,5,6,11,,,,,,,Sep,2890039,2130596,5020635,136%
,,,,,,,,,,,,,,,Bermuda,22,0,22,,,,,,,Kenya,491,362,853,136%
,,,,,,,,,,,,,,,Bolivia,50,28,78,,,,,,,Bahrain,1382,1019,2401,136%
,,,,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Iceland,316,233,549,136%
,,,,,,,,,,,,,,,Brazil,5048,3644,8692,,,,,,,Brazil,7031,5186,12217,136%
,,,,,,,,,,,,,,,British  Virgin  Islands,0,0,0,,,,,,,Jordan,885,653,1538,136%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Czech Republic,1969,1454,3423,135%
,,,,,,,,,,,,,,,Canada,21738,16579,38317,,,,,,,Canada,32151,23744,55895,135%
,,,,,,,,,,,,,,,Cayman  Islands,1,0,1,,,,,,,Spain,22239,16428,38667,135%
,,,,,,,,,,,,,,,Chile,1384,984,2368,,,,,,,Cyprus,314,232,546,135%
,,,,,,,,,,,,,,,Clipperton  Island,0,0,0,,,,,,,Montenegro,23,17,40,135%
,,,,,,,,,,,,,,,Colombia,1223,689,1912,,,,,,,Romania,6206,4592,10798,135%
,,,,,,,,,,,,,,,Costa rica,304,107,411,,,,,,,Bangladesh,14423,10694,25117,135%
,,,,,,,,,,,,,,,Cuba,27,14,41,,,,,,,Switzerland,10144,7525,17669,135%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,Spain,11012,8182,19194,135%
,,,,,,,,,,,,,,,Dominica,22,40,62,,,,,,,Maldives,4134,3072,7206,135%
,,,,,,,,,,,,,,,Ecuador,174,108,282,,,,,,,Austria,5317,3952,9269,135%
,,,,,,,,,,,,,,,El Salvador,40,30,70,,,,,,,Taiwan,62738,46635,109373,135%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Portugal,5073,3775,8848,134%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Belarus,1654,1231,2885,134%
,,,,,,,,,,,,,,,Greenland,11,0,11,,,,,,,Czech Republic,10651,7929,18580,134%
,,,,,,,,,,,,,,,Grenada,8,14,22,,,,,,,Moldova,90,67,157,134%
,,,,,,,,,,,,,,,Guadalope,12,0,12,,,,,,,Argentina,1176,876,2052,134%
,,,,,,,,,,,,,,,Guatamala,,27,27,,,,,,,Hong Kong (China),82244,61274,143518,134%
,,,,,,,,,,,,,,,Guatemala,80,,80,,,,,,,Jul,3342750,2490643,5833393,134%
,,,,,,,,,,,,,,,Guyana,0,1,1,,,,,,,Kuwait,11063,8243,19306,134%
,,,,,,,,,,,,,,,Haiti,4,9,13,,,,,,,Germany,73791,55029,128820,134%
,,,,,,,,,,,,,,,Honduras,58,18,76,,,,,,,Italy,40114,29929,70043,134%
,,,,,,,,,,,,,,,Jamaica,25,,25,,,,,,,Chile,1675,1250,2925,134%
,,,,,,,,,,,,,,,Jamica,,33,33,,,,,,,Slovakia,840,627,1467,134%
,,,,,,,,,,,,,,,Martinique,3,0,3,,,,,,,Estonia,667,499,1166,134%
,,,,,,,,,,,,,,,Mexico,3804,2753,6557,,,,,,,Denmark,19030,14238,33268,134%
